CustID1;Treatment;Treatment_2;Sample_type;Sample;N;C;CN_ratio
arg-p_1;Arginine_P;Arginine_P;Needles;Needles;1,57;52,67;33,5477707
arg-p_2;Arginine_P;Arginine_P;Needles;Needles;1,34;52,37;39,08208955
arg-p_3;Arginine_P;Arginine_P;Needles;Needles;1,22;52,11;42,71311475
arg-p_4;Arginine_P;Arginine_P;Needles;Needles;1,77;51,71;29,21468927
arg-p_5;Arginine_P;Arginine_P;Needles;Needles;1,9;51,97;27,35263158
S.Arg.1;Arginine_P;Scarified;Clear_cut;Soil;0,07;1,89;27
S.Arg.2;Arginine_P;Scarified;Clear_cut;Soil;0,39;11,85;30,38461538
S.Arg.3;Arginine_P;Scarified;Clear_cut;Soil;0,1;2,27;22,7
S.ctrl.1;Control;Scarified;Clear_cut;Soil;0,03;0,59;19,66666667
S.ctrl.2;Control;Scarified;Clear_cut;Soil;0,17;8,89;52,29411765
S.ctrl.3;Control;Scarified;Clear_cut;Soil;0,09;2,52;28
S.Osm.1;Osmocote;Scarified;Clear_cut;Soil;0,05;1,12;22,4
S.Osm.2;Osmocote;Scarified;Clear_cut;Soil;0,06;1,95;32,5
S.Osm.3;Osmocote;Scarified;Clear_cut;Soil;0,1;2,33;23,3
ctrl_1;Control;Control;Needles;Needles;2,55;51,53;20,20784314
ctrl_2;Control;Control;Needles;Needles;1,29;51,69;40,06976744
ctrl_3;Control;Control;Needles;Needles;1,5;50,7;33,8
ctrl_4;Control;Control;Needles;Needles;1,62;50,79;31,35185185
ctrl_5;Control;Control;Needles;Needles;1,32;51,67;39,14393939
arg-p_1;Arginine_P;Arginine_P;Ectorhizosphere;Soil;0,06;1,45;24,16666667
arg-p_2;Arginine_P;Arginine_P;Ectorhizosphere;Soil;0,07;2,08;29,71428571
arg-p_3;Arginine_P;Arginine_P;Ectorhizosphere;Soil;0,05;1,71;34,2
arg-p_4;Arginine_P;Arginine_P;Ectorhizosphere;Soil;0,11;5,06;46
arg-p_5;Arginine_P;Arginine_P;Ectorhizosphere;Soil;0,06;1,73;28,83333333
ctrl_1;Control;Control;Ectorhizosphere;Soil;0,1;2,91;29,1
ctrl_2;Control;Control;Ectorhizosphere;Soil;0,07;2,34;33,42857143
ctrl_3;Control;Control;Ectorhizosphere;Soil;0,09;3,27;36,33333333
ctrl_4;Control;Control;Ectorhizosphere;Soil;0,06;1,72;28,66666667
ctrl_5;Control;Control;Ectorhizosphere;Soil;0,04;0,9;22,5
osm_1;Osmocote;Osmocote;Ectorhizosphere;Soil;0,07;1,99;28,42857143
osm_2;Osmocote;Osmocote;Ectorhizosphere;Soil;0,06;1,81;30,16666667
osm_3;Osmocote;Osmocote;Ectorhizosphere;Soil;0,08;2,21;27,625
osm_4;Osmocote;Osmocote;Ectorhizosphere;Soil;0,08;2,7;33,75
osm_5;Osmocote;Osmocote;Ectorhizosphere;Soil;0,05;1,48;29,6
S.Bottom.1;Bottom;Mix;Edges;Soil;2,09;49,84;23,84688995
S.Bottom.2;Bottom;Mix;Edges;Soil;2,07;49,06;23,70048309
S.Bottom.3;Bottom;Mix;Edges;Soil;1,39;35,16;25,29496403
S.Bottom.4;Bottom;Mix;Edges;Soil;2,15;49,18;22,8744186
S.Bottom.Min;Bottom_min;Mineral;Edges;Soil;0,07;1,96;28
S.Bottom.Org;Bottom_org;Organic;Edges;Soil;0,89;34,57;38,84269663
S.Left.1;Left;Mix;Edges;Soil;0,98;48,78;49,7755102
S.Left.2;Left;Mix;Edges;Soil;1,07;50,44;47,14018692
S.Left.3;Left;Mix;Edges;Soil;1,17;49,87;42,62393162
S.Left.4;Left;Mix;Edges;Soil;1,07;54,88;51,28971963
S.Left.Bot.Org;Left_b_org;Organic;Edges;Soil;1,49;54,42;36,52348993
S.Left.Up.Min;Left_u_min;Mineral;Edges;Soil;0,12;3,26;27,16666667
S.Left.Up.Org;Left_u_org;Organic;Edges;Soil;0,98;42,69;43,56122449
S.Right.1;Right;Mix;Edges;Soil;1,03;39,55;38,39805825
S.Right.2;Right;Mix;Edges;Soil;1,47;47,18;32,0952381
S.Right.3;Right;Mix;Edges;Soil;1,33;50,91;38,27819549
S.Right.4;Right;Mix;Edges;Soil;1,24;53,1;42,82258065
S.Right.Min;Right_min;Mineral;Edges;Soil;0,04;0,87;21,75
S.Right.Org;Right_org;Organic;Edges;Soil;0,36;11,34;31,5
S.Top.1;Top;Mix;Edges;Soil;1,42;54,76;38,56338028
S.Top.2;Top;Mix;Edges;Soil;1,22;48,84;40,03278689
S.Top.3;Top;Mix;Edges;Soil;1,01;51,29;50,78217822
S.Top.Min;Top_min;Mineral;Edges;Soil;0,12;2,94;24,5
S.Top.Org;Top_org;Organic;Edges;Soil;1,04;38,64;37,15384615
osm_1;Osmocote;Osmocote;Needles;Needles;1,54;52,06;33,80519481
osm_2;Osmocote;Osmocote;Needles;Needles;1,54;52,01;33,77272727
osm_3;Osmocote;Osmocote;Needles;Needles;2,06;51,61;25,05339806
osm_4;Osmocote;Osmocote;Needles;Needles;1,45;52,11;35,93793103
osm_5;Osmocote;Osmocote;Needles;Needles;1,66;52,02;31,3373494