Plant;Treatment;Root_weight;Shoot_weight;Root_shoot
1;Arginine_P;0,1584;0,0999;1,585585586
2;Arginine_P;0,1493;0,1274;1,171899529
3;Arginine_P;0,013;0,0513;0,253411306
4;Arginine_P;0,0544;0,0738;0,737127371
5;Arginine_P;0,0429;0,095;0,451578947
6;Arginine_P;0,0416;0,0901;0,461709212
7;Arginine_P;0,078;0,0676;1,153846154
8;Arginine_P;0,1186;0,0808;1,467821782
9;Arginine_P;0,0843;0,0845;0,997633136
10;Arginine_P;0,0845;0,0641;1,31825273
11;Arginine_P;0,0412;0,0471;0,874734607
12;Arginine_P;0,0436;0,0552;0,789855072
13;Arginine_P;0,1002;0,0827;1,211608222
14;Arginine_P;0,1592;0,1315;1,210646388
15;Arginine_P;0,0691;0,069;1,001449275
16;Arginine_P;0,0467;0,0717;0,651324965
17;Arginine_P;0,0454;0,0704;0,644886364
18;Arginine_P;0,0459;0,073;0,628767123
19;Arginine_P;0,0574;0,0693;0,828282828
20;Arginine_P;0,0533;0,0468;1,138888889
21;Arginine_P;0,0552;0,0485;1,13814433
22;Arginine_P;0,0701;0,091;0,77032967
1;Osmocote;0,0455;0,0614;0,741042345
2;Osmocote;0,0762;0,0883;0,862967157
3;Osmocote;0,1285;0,133;0,966165414
4;Osmocote;0,0569;0,0687;0,828238719
5;Osmocote;0,0652;0,0602;1,083056478
6;Osmocote;0,0458;0,0598;0,765886288
7;Osmocote;0,052;0,0919;0,565832427
8;Osmocote;0,046;0,0836;0,550239234
9;Osmocote;0,0228;0,0674;0,338278932
10;Osmocote;0,0355;0,0599;0,592654424
11;Osmocote;0,0416;0,0578;0,719723183
12;Osmocote;0,0518;0,0654;0,79204893
13;Osmocote;0,0214;0,0385;0,555844156
14;Osmocote;0,0426;0,0623;0,683788122
15;Osmocote;0,0678;0,0746;0,908847185
16;Osmocote;0,0624;0,0718;0,86908078
17;Osmocote;0,0943;0,1271;0,741935484
18;Osmocote;0,0654;0,0651;1,004608295
1;Control;0,0152;0,042;0,361904762
2;Control;0,1969;0,1276;1,543103448
3;Control;0,0293;0,0593;0,494097808
4;Control;0,06;0,0662;0,906344411
5;Control;0,0191;0,0566;0,33745583
6;Control;0,0698;0,0507;1,376725838
7;Control;0,0942;0,1085;0,868202765
8;Control;0,0497;0,1001;0,496503497
9;Control;0,013;0,0386;0,336787565
10;Control;0,0223;0,0444;0,502252252
11;Control;0,1001;0,0636;1,573899371
12;Control;0,0804;0,0698;1,151862464
13;Control;0,0611;0,0509;1,200392927