Sample;Status;Treatment
Control_1;1;Control
Control_2;0;Control
Control_3;0;Control
Control_4;0;Control
Control_5;0;Control
Control_6;0;Control
Control_7;0;Control
Control_8;0;Control
Control_9;1;Control
Control_10;0;Control
Control_11;0;Control
Control_12;0;Control
Control_13;1;Control
Control_14;0;Control
Control_15;0;Control
Control_16;1;Control
Control_17;1;Control
Control_18;0;Control
Control_19;1;Control
Control_20;1;Control
Control_21;1;Control
Control_22;1;Control
Control_23;1;Control
Control_24;0;Control
Control_25;1;Control
Control_26;1;Control
Control_27;0;Control
Control_28;1;Control
Control_29;0;Control
Control_30;1;Control
Control_31;1;Control
Control_32;0;Control
Control_33;0;Control
Control_34;1;Control
Control_35;1;Control
Control_36;0;Control
Control_37;0;Control
Control_38;0;Control
Control_39;1;Control
Control_40;0;Control
Control_41;0;Control
Control_42;1;Control
Control_43;0;Control
Control_44;0;Control
Control_45;0;Control
Control_46;0;Control
Control_47;0;Control
Control_48;0;Control
Control_49;1;Control
Control_50;0;Control
Control_51;0;Control
Control_52;1;Control
Control_53;0;Control
Control_54;0;Control
Control_55;0;Control
Control_56;1;Control
Control_57;0;Control
Control_58;1;Control
Control_59;0;Control
Control_60;1;Control
Control_61;1;Control
Control_62;1;Control
Control_63;0;Control
Control_64;0;Control
Control_65;0;Control
Control_66;1;Control
Control_67;0;Control
Control_68;0;Control
Control_69;0;Control
Control_70;0;Control
Control_71;0;Control
Control_72;0;Control
Control_73;1;Control
Control_74;0;Control
Control_75;0;Control
Control_76;0;Control
Control_77;1;Control
Control_78;0;Control
Control_79;1;Control
Control_80;1;Control
Control_81;0;Control
Control_82;0;Control
Control_83;0;Control
Control_84;1;Control
Control_85;0;Control
Control_86;0;Control
Control_87;0;Control
Control_88;0;Control
Control_89;1;Control
Control_90;0;Control
Control_91;0;Control
Control_92;0;Control
Control_93;0;Control
Control_94;0;Control
Control_95;1;Control
Control_96;0;Control
Control_97;0;Control
Control_98;0;Control
Arginine_1;0;Arginine
Arginine_2;1;Arginine
Arginine_3;1;Arginine
Arginine_4;0;Arginine
Arginine_5;1;Arginine
Arginine_6;0;Arginine
Arginine_7;0;Arginine
Arginine_8;0;Arginine
Arginine_9;0;Arginine
Arginine_10;1;Arginine
Arginine_11;1;Arginine
Arginine_12;0;Arginine
Arginine_13;1;Arginine
Arginine_14;0;Arginine
Arginine_15;0;Arginine
Arginine_16;1;Arginine
Arginine_17;1;Arginine
Arginine_18;1;Arginine
Arginine_19;1;Arginine
Arginine_20;0;Arginine
Arginine_21;0;Arginine
Arginine_22;1;Arginine
Arginine_23;0;Arginine
Arginine_24;0;Arginine
Arginine_25;0;Arginine
Arginine_26;0;Arginine
Arginine_27;0;Arginine
Arginine_28;1;Arginine
Arginine_29;0;Arginine
Arginine_30;1;Arginine
Arginine_31;1;Arginine
Arginine_32;1;Arginine
Arginine_33;1;Arginine
Arginine_34;0;Arginine
Arginine_35;1;Arginine
Arginine_36;1;Arginine
Arginine_37;1;Arginine
Arginine_38;1;Arginine
Arginine_39;0;Arginine
Arginine_40;0;Arginine
Arginine_41;0;Arginine
Arginine_42;1;Arginine
Arginine_43;0;Arginine
Arginine_44;0;Arginine
Arginine_45;1;Arginine
Arginine_46;1;Arginine
Arginine_47;1;Arginine
Arginine_48;0;Arginine
Arginine_49;0;Arginine
Arginine_50;1;Arginine
Arginine_51;0;Arginine
Arginine_52;1;Arginine
Arginine_53;0;Arginine
Arginine_54;1;Arginine
Arginine_55;1;Arginine
Arginine_56;1;Arginine
Arginine_57;1;Arginine
Arginine_58;0;Arginine
Arginine_59;1;Arginine
Arginine_60;1;Arginine
Arginine_61;0;Arginine
Arginine_62;0;Arginine
Arginine_63;0;Arginine
Arginine_64;1;Arginine
Arginine_65;0;Arginine
Arginine_66;1;Arginine
Arginine_67;0;Arginine
Arginine_68;1;Arginine
Arginine_69;1;Arginine
Arginine_70;1;Arginine
Arginine_71;1;Arginine
Arginine_72;0;Arginine
Arginine_73;0;Arginine
Arginine_74;1;Arginine
Arginine_75;0;Arginine
Arginine_76;0;Arginine
Arginine_77;1;Arginine
Arginine_78;1;Arginine
Arginine_79;1;Arginine
Arginine_80;0;Arginine
Arginine_81;0;Arginine
Arginine_82;1;Arginine
Arginine_83;0;Arginine
Arginine_84;1;Arginine
Arginine_85;1;Arginine
Arginine_86;1;Arginine
Arginine_87;1;Arginine
Arginine_88;0;Arginine
Arginine_89;0;Arginine
Arginine_90;1;Arginine
Arginine_91;1;Arginine
Arginine_92;1;Arginine
Arginine_93;0;Arginine
Arginine_94;0;Arginine
Arginine_95;0;Arginine
Arginine_96;1;Arginine
Osmocote_1;0;Osmocote
Osmocote_2;1;Osmocote
Osmocote_3;0;Osmocote
Osmocote_4;1;Osmocote
Osmocote_5;0;Osmocote
Osmocote_6;0;Osmocote
Osmocote_7;1;Osmocote
Osmocote_8;0;Osmocote
Osmocote_9;0;Osmocote
Osmocote_10;1;Osmocote
Osmocote_11;0;Osmocote
Osmocote_12;1;Osmocote
Osmocote_13;1;Osmocote
Osmocote_14;1;Osmocote
Osmocote_15;1;Osmocote
Osmocote_16;0;Osmocote
Osmocote_17;0;Osmocote
Osmocote_18;1;Osmocote
Osmocote_19;0;Osmocote
Osmocote_20;0;Osmocote
Osmocote_21;0;Osmocote
Osmocote_22;0;Osmocote
Osmocote_23;0;Osmocote
Osmocote_24;1;Osmocote
Osmocote_25;1;Osmocote
Osmocote_26;1;Osmocote
Osmocote_27;1;Osmocote
Osmocote_28;1;Osmocote
Osmocote_29;1;Osmocote
Osmocote_30;1;Osmocote
Osmocote_31;0;Osmocote
Osmocote_32;0;Osmocote
Osmocote_33;1;Osmocote
Osmocote_34;1;Osmocote
Osmocote_35;0;Osmocote
Osmocote_36;0;Osmocote
Osmocote_37;1;Osmocote
Osmocote_38;0;Osmocote
Osmocote_39;1;Osmocote
Osmocote_40;1;Osmocote
Osmocote_41;0;Osmocote
Osmocote_42;1;Osmocote
Osmocote_43;0;Osmocote
Osmocote_44;0;Osmocote
Osmocote_45;1;Osmocote
Osmocote_46;1;Osmocote
Osmocote_47;0;Osmocote
Osmocote_48;1;Osmocote
Osmocote_49;1;Osmocote
Osmocote_50;0;Osmocote
Osmocote_51;0;Osmocote
Osmocote_52;0;Osmocote
Osmocote_53;1;Osmocote
Osmocote_54;0;Osmocote
Osmocote_55;1;Osmocote
Osmocote_56;0;Osmocote
Osmocote_57;0;Osmocote
Osmocote_58;1;Osmocote
Osmocote_59;1;Osmocote
Osmocote_60;1;Osmocote
Osmocote_61;0;Osmocote
Osmocote_62;0;Osmocote
Osmocote_63;0;Osmocote
Osmocote_64;1;Osmocote
Osmocote_65;1;Osmocote
Osmocote_66;1;Osmocote
Osmocote_67;1;Osmocote
Osmocote_68;1;Osmocote
Osmocote_69;0;Osmocote
Osmocote_70;0;Osmocote
Osmocote_71;1;Osmocote
Osmocote_72;0;Osmocote
Osmocote_73;1;Osmocote
Osmocote_74;1;Osmocote
Osmocote_75;0;Osmocote
Osmocote_76;0;Osmocote
Osmocote_77;1;Osmocote
Osmocote_78;0;Osmocote
Osmocote_79;1;Osmocote
Osmocote_80;0;Osmocote
Osmocote_81;0;Osmocote
Osmocote_82;1;Osmocote
Osmocote_83;1;Osmocote
Osmocote_84;0;Osmocote
Osmocote_85;0;Osmocote
Osmocote_86;0;Osmocote
Osmocote_87;0;Osmocote
Osmocote_88;0;Osmocote
Osmocote_89;0;Osmocote
Osmocote_90;0;Osmocote
Osmocote_91;0;Osmocote
Osmocote_92;0;Osmocote
Osmocote_93;0;Osmocote
Osmocote_94;0;Osmocote
Osmocote_95;0;Osmocote
Osmocote_96;1;Osmocote
Osmocote_97;0;Osmocote
Osmocote_98;1;Osmocote
Osmocote_99;1;Osmocote
Osmocote_100;1;Osmocote
Osmocote_101;0;Osmocote
Osmocote_102;1;Osmocote
Osmocote_103;1;Osmocote
Osmocote_104;0;Osmocote
Osmocote_105;1;Osmocote
Osmocote_106;1;Osmocote
Osmocote_107;0;Osmocote
Osmocote_108;1;Osmocote
Osmocote_109;1;Osmocote
Osmocote_110;1;Osmocote
Osmocote_111;1;Osmocote
Osmocote_112;1;Osmocote
Osmocote_113;0;Osmocote
Osmocote_114;0;Osmocote
Osmocote_115;1;Osmocote
Osmocote_116;0;Osmocote
Osmocote_117;1;Osmocote